name,team,image,battingStyle,bowlingStyle,playingRole,description
Virat Kohli,India,,Right hand Bat,Right arm Medium,Top order Batter,"India has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them."
Paul van Meekeren,Netherlands,,Right hand Bat,Right arm Fast medium,Bowler,"Paul van Meekeren drew attention to himself during the World Twenty20 qualifiers in 2016 when he produced a spell of 4 for 11 against Ireland. A trial match at Taunton Vale, plus the success of his Dutch compatriot Timm van der Gugten at Glamorgan, was enough for Somerset to offer him a short-term deal midway through the 21016 season which they extended to a two-year deal until the end of the 2018 season. He made his Somerset first-class debut against the Pakistan tourists and followed up with T20 and List-A debuts for the Club in the same season, catching the eye in a NatWest T20 Blast fixture at Cardiff where he bowled with genuine pace. The following season, in his sole Championship appearance, he took four wickets on debut against Essex at Chelmsford.

ESPNcricinfo staff"
Teja Nidamanuru,Netherlands,,Right hand Bat,Right arm Offbreak,Allrounder,
Towhid Hridoy,Bangladesh,,Right hand Bat,Right arm Offbreak,Top order Batter,
Mehidy Hasan Miraz,Bangladesh,,Right hand Bat,Right arm Offbreak,Allrounder,"Mehedi Hasan Miraz has emerged as one of the brightest young stars in Bangladesh cricket. He led the country to their first appearance in an Under-19 World Cup semi-final in February 2016, before making the year more memorable with his Test debut, against England in October."
Marnus Labuschagne,Australia,,Right hand Bat,Legbreak,Batter,"Marnus Labuschagne's ascent to the higher echelons of Test batting was an extraordinary tale of making the most of an unexpected opportunity. During the Lord's Ashes Test against England in August 2019, Steven Smith was felled by Jofra Archer's bouncer and Labuschagne would become his concussion substitute - the first time in Test history the protocol had been used. By the end of the year he had eclipsed Smith as the leading Test run-scorer in the world, and locked in the No. 3 spot, in the midst of a prolific home summer that brought him four centuries in five matches against Pakistan and New Zealand including a double century at the SCG."
Travis Head,Australia,,Left hand Bat,Right arm Offbreak,Middle order Batter,"A talented, aggressive left-hand batter earmarked for big things at a young age, Travis Head earned his first call-up to Australia's squad at the age of 22 for a series of T20Is against India in early 2016 and it was initially the white-ball game where he established himself before Test cricket took over following a debut in 2018. "
Rahmat Shah,Afghanistan,,Right hand Bat,Legbreak Googly,Allrounder,
Rahmanullah Gurbaz,Afghanistan,,Right hand Bat,,Wicketkeeper Batter,
Adam Zampa,Australia,,Right hand Bat,Legbreak Googly,Bowler,"An energetic and competitive legspinner, Adam Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations, including a wrong'un and straight ball making up for a lack of prodigious turn. He's a (mullet-wearing) colourful character off the field, but in contrast, his bowling, focusing on control, is clinical."
Hashmatullah Shahidi (c),Afghanistan,,Left hand Bat,Right arm Offbreak,Top order Batter,"Hashmatullah Shaidi is a young left-handed batsman whose hard work in Afghanistan's age group teams eventually allowed him to break into the senior squad. Shaidi started his journey in the Under-17 side and was included in Afghanistan's squad for the 2010 Under-19 World Cup in New Zealand. Four years later, he was part of the Under-19 team that beat Australia and Sri Lanka, and was rewarded with a spot in the squad for Afghanistan's first full tour of Zimbabwe. His favourite shot is the cover-drive and he idolises Kumar Sangakkara.Liam Brickhill"
Cameron Green,Australia,,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Cameron Green was earmarked as an international cricket from very early. Contracted to Western Australia as a schoolboy, he took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. "
Ibrahim Zadran,Afghanistan,,Right hand Bat,Right arm Medium fast,Opening Batter,
Usama Mir,Pakistan,,Right hand Bat,Legbreak,Bowler,
Matheesha Pathirana,Sri Lanka,,Right hand Bat,Right arm Fast,Bowler,
Alex Carey â€ ,Australia,,Left hand Bat,,Wicketkeeper Batter,"As inaugural captain of the Greater Western Sydney Giants on their road towards inclusion in the Australian Football League, Alex Carey appeared to be a talent lost to cricket. But the fade of his Australian football career around his 20th birthday left him to fall back on the other sport that had competed for his junior attention, starting a road to becoming Australia's wicketkeeper across formats and also a vice-captain of the ODI side."
Dawid Malan,England,,Left hand Bat,Legbreak,Top order Batter,"Dawid Malan made a striking entry into international cricket in a T20I in Cardiff in 2017, demolishing South Africa's attack with 78 from 44 balls. He deposited the second ball, from Chris Morris, over midwicket for six and never looked back."
Daryl Mitchell,New Zealand,,Right hand Bat,Right arm Medium,Batting Allrounder,"Daryl Mitchell was called into New Zealand's Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, too, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. He had made his international debut against India in a T20I in February of that year."
Babar Azam (c),Pakistan,,Right hand Bat,Right arm Offbreak,Batter,"A right-hand, top-order batsman known for his discipline and level-headed attitude, Babar Azam laid claim to a long-term spot in Pakistan's batting line-up with a strong performance in 2016, making three consecutive ODI hundreds against West Indies in the UAE, and a 90 in his third Test, in Hamilton. He was 22 years old at the time."
Devon Conway,New Zealand,,Left hand Bat,Right arm Medium,Wicketkeeper Batter,
Fakhar Zaman,Pakistan,,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"Born in Mardan, where the standard of batsmanship will always be measured by arguably Pakistan's greatest Test batsman Younis Khan, Fakhar Zaman has been on Pakistan's thankless domestic circuit for over five years with almost no attention. A left-handed opener with an unusually high backlift, Zaman relies on timing for his runs, which he's made plenty of. This is illustrated by his domestic average (42 in first class cricket and 49 in List A). But it wasn't until the Quaid-e-Azam trophy in 2016-17 that his form began to be noticed. Zaman scored 663 runs in the competition at an average of 51, including 170 in the second innings of the final, a game dominated by the twin centuries of former Pakistan captain Salman Butt."
Iftikhar Ahmed,Pakistan,,Right hand Bat,Right arm Offbreak,Middle order Batter,
Haris Rauf,Pakistan,,Right hand Bat,Right arm Fast,Bowler,
Ben Stokes,England,,Left hand Bat,Right arm Fast medium,Allrounder,"The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
Saud Shakeel,Pakistan,,Left hand Bat,Left arm Slow,Middle order Batter,
Temba Bavuma (c),South Africa,,Right hand Bat,Right arm Medium,Middle order Batter,"From the same street in Langa, a township outside Cape Town, where Thami Tsolekile and Malusi Siboto were raised, came Temba Bavuma. Unlike the wicketkeeper-batsman and medium-pacer, Bavuma is a specialist batsman and the first black African batsman picked in South Africa's Test squad. "
David Miller,South Africa,,Left hand Bat,Right arm Offbreak,Middle order Batter,"A hard-hitting left-hander with a penchant for clearing the boundary, David Miller made famous the phrase ""If it's in the arc, it's out the park."" Miller is a self-styled finisher who is strong off the front and back foot and eager to swing his arms, as well as a gun fielder. "
Marco Jansen,South Africa,,Right hand Bat,Left arm Medium fast,Bowling Allrounder,"At 2.06 metres tall, Marco Jansen's height immediately marks him out as a fast bowler but he began his cricket career as a batter. Jansen's first coach was his father, Koos, who trained both him and his twin brother Duan in their home town of Potchefstroom. At the age of 17, the pair were picked to bowl to the touring Indian side in the nets and impressed the likes of Virat Kohli with his pace and accuracy. "
Keshav Maharaj,South Africa,,Right hand Bat,Slow Left arm Orthodox,Bowler,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
Sadeera Samarawickrama,Sri Lanka,,Right hand Bat,,Wicketkeeper Batter,"In the longest format, Sadeera Samarawickrama is a dashing wicketkeeper-batsman who plays in the middle order. In limited-overs cricket, he has routinely set his teams off to fast starts as an opener. In any case, few school leavers of his vintage have made such a successful transition to the senior level. The national selectors have taken notice. "
Kagiso Rabada,South Africa,,Left hand Bat,Right arm Fast,Bowler,"A strapping, genuine quick who regularly bowls in the 140-150kph range, Kagiso Rabada is the most exciting talent to emerge from South Africa in the post No.1 Test ranking era. Before he had turned 21, Rabada had already established himself as a potential leader of the attack. "
Tabraiz Shamsi,South Africa,,Right hand Bat,Left arm Wrist spin,Bowler,"A left-arm wristspin bowler with ample variations and a good googly, Tabraiz Shamsi emerged as South Africa were starting to warm to the wave of spinners being produced at domestic levels, although it took a while for him to come through. "
Aryan Dutt,Netherlands,,Right hand Bat,Right arm Offbreak,Bowler,
Logan van Beek,Netherlands,,Right hand Bat,Right arm Medium fast,Bowler,"Logan van Beek is an allrounder in more ways than one. As a cricketer, he compares his play to that of Shane Watson, he also represented New Zealand at the World Under-19 Basketball Championships in 2009, and he works as a sports coach. Named in the New Zealand squad for the Under-19 World Cup in 2010, van Beek is the grandson of Sammy Guillen, who played Test cricket for both West Indies and New Zealand.Cricinfo staff January 2010"
Najmul Hossain Shanto (c),Bangladesh,,Left hand Bat,Right arm Offbreak,Top order Batter,"Nazmul Hossain Shanto emerged from an unusual source in Bangladesh cricket - the schools. A double-century in a school one-day match in Rajshahi grabbed the attention of age-group scouts, who quickly drafted the left-hander into Bangladesh's Under-17s. Soon, he graduated to the Under-19s in 2013, and went on to play two World Cups at that level, in 2014 and 2016."
Reece Topley,England,,Right hand Bat,Left arm Fast medium,Bowler,"A left-arm seamer with a fearsome yorker but a chequered injury history, Reece Topley's career was in peril before his 25th birthday as he suffered a series of stress fractures that left him wondering whether he would ever be able to play again."
Mark Chapman,New Zealand,,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Born in Hong Kong, but qualifying for New Zealand through his father, Chapman began his international career with the country of his birth in 2014 having previously made the Under-19 squad as a 15-year-old. He made a century on ODI debut against UAE in 2015 having flown 20 hours following exams in New Zealand, but soon decided to throw his lot in with New Zealand and focused on his career with Auckland. His first New Zealand call-up came in early 2018 for the T20 tri-series involving England and Australia. It was reward for a prolific 2017-18 white-ball season by the left-hander, who scored over 300 runs in the Super Smash and more than 400 in the one-day Ford Trophy. He also bowls part-time left-arm spin which he has been encouraged to continue to work on. As a teenager he suffered a torn anterior cruciate ligament in his left knee playing rugby in New Zealand but it did not stall his cricket career.
ESPNcricinfo staff"
Mohammad Rizwan â€ ,Pakistan,,Right hand Bat,,Wicketkeeper Batter,"For several years, it appeared Mohammad Rizwan's international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often. "
Joe Root,England,,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,"That Joe Root would one day captain England was taken as read when he hit the grand old age of 23. The accolade everybody anticipated became his three years later, when Alastair Cook stood down after the 2016-17 tour of India. It was understandable that there were a few fears for Root's future workload. He was rare among England batsmen in achieving maturity so quickly, and had looked consumed by the delights of batting from the moment he first took guard. Now he had new responsibilities. "
Sybrand Engelbrecht,Netherlands,,Right hand Bat,Right arm Offbreak,Allrounder,"He stole the spotlight with a stunning two-handed, diving catch at point during the 2008 Under-19 World Cup in Malaysia  - headlined on Youtube as 'the Best ever catch in cricket history' - but allrounder Sybrand Engelbrecht has struggled to take his sensational fielding into other aspects of his game. The bulk of his career has been spent trying to become a franchise regular at Cape Cobras, where he often has to settle for a place in the provincial side instead.  "
Pathum Nissanka,Sri Lanka,,Right hand Bat,,Top order Batter,
Charith Asalanka,Sri Lanka,,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Chamika Karunaratne,Sri Lanka,,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
Abdullah Shafique,Pakistan,,Right hand Bat,Right arm Offbreak,Top order Batter,
Adil Rashid,England,,Right hand Bat,Legbreak,Bowler,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
Mujeeb Ur Rahman,Afghanistan,,Right hand Bat,Right arm Offbreak,Bowler,"Offspinner Mujeeb ur Rahman has followed in the footsteps of his superstar compatriot Rashid Khan, mixing up offbreaks with legspin and ripping googlies and making a splash in T20 leagues around the world."
Wesley Barresi,Netherlands,,Right hand Bat,Right arm Offbreak,Batter,"A former South African first class player. Represented Easterns Cricket at U15, U19, U23 level, before making his first class debut in 2003 against Titans. A surprise call up to first class cricket was embraced by Barresi as he went on to score a superb 57 on debut against one of the toughest teams in the franchise. Also featured in an elite Academy squad that was brought together by the Titans in 2002/2003. Now represents The Netherlands at international level making his ODI debut in 2010 against Scotland in the World Cricket League. A top order batsman with a wide array of strokes."
Steven Smith,Australia,,Right hand Bat,Legbreak Googly,Middle order Batter,"In a career of twists and turns, Steven Smith started out as a legspinner and become Australia's best batter since Sir Donald Bradman, either side of having his career derailed by a ball-tampering scandal that saw him stripped of the captaincy and banned for 12 months."
Reeza Hendricks,South Africa,,Right hand Bat,Right arm Offbreak,Opening Batter,"Reeza Hendricks has fashioned a reputation as a destructive T20 opener, with crisp shot-making, particularly through the covers, and one adept at pacing a knock and scoring quickly at either end of an innings. "
Tom Latham (c)â€ ,New Zealand,,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"The son of former allrounder Rod Latham, Tom Latham played varied roles for New Zealand since his international debut at the age of 19. He batted in every position from No. 1 to 9 in limited-overs cricket, and also took on the responsibility of being a wicketkeeper. In Tests, however, Latham was primarily used as an opening batsman, and he quickly settled into a position New Zealand had trouble filling for years."
Rahmanullah Gurbaz â€ ,Afghanistan,,Right hand Bat,,Wicketkeeper Batter,
Dilshan Madushanka,Sri Lanka,,Right hand Bat,Left arm Fast medium,Bowler,
Chris Woakes,England,,Right hand Bat,Right arm Fast medium,Allrounder,"By the time Chris Woakes returned from England's tour to South Africa at the start of 2016, he feared his Test career was over. He was 27 by then and had played six Tests. But, despite bowling respectably on almost every outing, he had never quite made the breakthrough and an average of 63.75 made dispiriting reading. It looked as if he may be remembered as one of England's nearly men."
Lungi Ngidi,South Africa,,Right hand Bat,Right arm Fast medium,Bowler,"A tall, imposing 140kph-plus fast bowler, Lungi Ngidi is as comfortable opening the bowling as he is at the death, and has been a regular presence in South Africa's sides, if not quite a shoo-in. "
Scott Edwards (c)â€ ,Netherlands,,Right hand Bat,,Wicketkeeper Batter,"Born in Tonga and raised in Australia, Scott Edwards made his Netherlands debut in 2017 and decided to abandon his electrical apprenticeship and commit to Dutch cricket. Five years later, he was established in the side as an innovative middle-order batter and wicketkeeper, and took over the captaincy when Pieter Seelaar retired."
Shubman Gill,India,,Right hand Bat,Right arm Offbreak,Opening Batter,"A right-hand top-order batsman from Punjab, Shubman Gill is known for his penchant for big runs and was hence drafted into India Under-19 side as the vice-captain for the 2018 World Cup. He made his first-class debut before that, for Punjab in the Ranji Trophy in late 2017 with a half-century in the game and an attacking 129 in the next match."
KL Rahul â€ ,India,,Right hand Bat,,Wicketkeeper Batter,"A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final."
Roelof van der Merwe,Netherlands,,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A tidy left-arm spinner and hard-hitting batter, Roelof van der Merwe is one of a small set of cricketers to have represented two international teams."
Dhananjaya de Silva,Sri Lanka,,Right hand Bat,Right arm Offbreak,Allrounder,"A technically correct top-order batsman from the southern reaches of the island, Dhananjaya de Silva briefly caught the national selectors' eye in 2015, then went on to have a bumper domestic season that marked him out for more intensive national duty. De Silva had been picked on potential in Sri Lanka's mid-year T20s against Pakistan, in 2015, but didn't quite convince he was a T20 batsman, hitting 45 off 47 balls across two innings. What followed, though, was an emphatic blooming."
Hasan Mahmud,Bangladesh,,Right hand Bat,Right arm Fast medium,Bowler,"Hasan Mahmud is one among a group of young pace bowlers who have given hope of a fast bowling uprising in Bangladesh, after decades of reliance on spin. Mahmud is still at a very early stage of his career, having just played a single T20I for Bangladesh, and earned a maiden call-up in the ODI side in January 2021, but already he has earned plenty of praise from Bangladesh's coaches for his ability to bowl fast, full and accurately. "
Maheesh Theekshana,Sri Lanka,,Right hand Bat,Right arm Offbreak,Bowler,
Mohammad Nabi,Afghanistan,,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage."
Lahiru Kumara,Sri Lanka,,Left hand Bat,Right arm Fast,Bowler,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
David Willey,England,,Left hand Bat,Left arm Fast medium,Bowling Allrounder,"Naturally competitive, willing to innovate, capable of changing a game with bat or ball, stunning run-out or implausible catch, David Willey has a lot going for him as a limited-overs cricketer. "
Ravindra Jadeja,India,,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Dissed when he first appeared, Ravindra Jadeja won the doubters and haters over with his deeds, and now sits among the elite of Indian spin bowling."
Kasun Rajitha,Sri Lanka,,Right hand Bat,Right arm Medium fast,Bowler,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
Shaheen Shah Afridi,Pakistan,,Left hand Bat,Left arm Fast,Bowler,"A baby face perched on a two-metre body, Shaheen Afridi's story is trademark Pakistani. An 18-year old already comfortable in the green shirt of the national side, he's been on the radar of the national selectors for almost three years. In a more intimate circle, he was destined for great achievements well before his teenage years, with an international cricketer for an elder brother."
Litton Das,Bangladesh,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Liton Das is the first wicketkeeper-batsman in Bangladesh considered good enough to be a long-term successor to Mushfiqur Rahim. His domestic exploits for Abahani in the Dhaka Premier League and Rangpur Division in the National Cricket League in the 2014-15 season earned him recognition and later a call-up in the senior side for the Test against India in Fatullah in June 2015.
Suryakumar Yadav,India,,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,"Hard-hitting 360-degree batter Suryakumar Yadav has all the shots, including a few not in any textbook save the one written by AB de Villiers. He also has a yen for making batting look easy, as he showed during four golden years with Mumbai Indians starting in 2018, during which they won the IPL title twice, thanks in no small part to his 1700-plus runs at a strike rate of around 140."
Angelo Mathews,Sri Lanka,,Right hand Bat,Right arm Medium,Allrounder,"A robust batting technique, nagging consistency with the ball, athleticism in the field, and an imperturbable temperament made Angelo Mathews one of Sri Lanka's most prized assets, although persistent injuries and several standoffs with the Sri Lankan board prevented him from achieving his full potential."
Heinrich Klaasen,South Africa,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A wicketkeeper-batter known for his belligerent six-hitting, Heinrich Klaasen first got his chance in the South African team as an injury replacement, opening in place of Quinton de Kock, but went on to establish himself in the middle order in limited-overs cricket. "
Quinton de Kock â€ ,South Africa,,Left hand Bat,,Wicketkeeper Batter,"Quinton de Kock's fearless striking and handy glovework earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher early in his career. By 21, he shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats for South Africa. "
Shreyas Iyer,India,,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,Shreyas Iyer is an attacking top-order batter capable of marrying classical shots with brute force.  
Kusal Perera,Sri Lanka,,Left hand Bat,,Wicketkeeper Batter,"Possessed of a short backlift, powerful forearms and relentless bloody-mindedness, left-handed batsman Kusal Janith Perera's batting is not just inspired by his hero Sanath Jayasuriya's technique, at times, it seems an exact duplicate. "
Ryan Klein,Netherlands,,Right hand Bat,Right arm Medium fast,Bowler,
Hardik Pandya,India,,Right hand Bat,Right arm Medium fast,Allrounder,Allrounder Hardik Pandya's calling cards brisk seam bowling and powerful ball-striking marked by the ability to hit sixes from the first ball. 
Rassie van der Dussen,South Africa,,Right hand Bat,Legbreak,Top order Batter,"Seeking opportunities wherever they might arise, Rassie van der Dussen had played cricket in South Africa, England, Ireland, Netherlands, Canada and the Caribbean before he finally caught the national selectors' eye and made his T20I debut against Zimbabwe in October 2018. Van der Dussen had also been part of South Africa A's tour to India earlier that year, and the accumulated effect of his experience in such a wide variety of conditions has made him a dynamic, adaptable batsman at the top of the order or in the middle.A naturally attacking batsman, van der Dussen has also been able to
translate his talents into long-format cricket and was top-scorer in South Africa's first-class domestic competition in 2017-18, as well as being Lions' vice-captain. But it was his success in cricket's shortest formats that made van der Dussen impossible to ignore.He was an integral part of the Vancouver Knights team that won the 2018 Global T20 Canada, after which he was recruited by St Kitts & Nevis Patriots in the Caribbean Premier League and capped the year by topping the batting charts with 469 runs at a strike rate of 138.75 in Jozi Stars' run to the inaugural Mzansi Super League title. Van der Dussen transitioned easily into international cricket, striking a fifty on T20I debut against Zimbabwe and following that up with 93 in his first ODI against Pakistan.Liam Brickhill"
Fazalhaq Farooqi,Afghanistan,,Right hand Bat,Left arm Fast medium,Bowler,
Aiden Markram,South Africa,,Right hand Bat,Right arm Offbreak,Opening Batter,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. "
Shakib Al Hasan (c),Bangladesh,,Left hand Bat,Slow Left arm Orthodox,Allrounder,"When the annals of Bangladesh cricket are sifted by future generations, Shakib Al Hasan will emerge and re-emerge as the greatest cricketer of its first two decades. As a bowler, Shakib is accurate, consistent and canny; aggression and a wide range of strokes are the keys to his batting. Even more importantly, he has self-belief and an excellent temperament, unflustered by the big occasion and ready to do battle against the top teams."
